product_name,category,price,stock_quantity,description,prescription_required,brand_name,form,sku,image_url
Atorvastatin 400mg Syrup,Antibiotics,15.36,122,Atorvastatin 400mg Syrup used for antibiotics related conditions. Use as directed by physician.,True,LifeLine,Syrup,SKU-00015,https://example.com/product/15.png
Ibuprofen 500mg Tablet,Antidiabetics,43.71,275,Ibuprofen 500mg Tablet used for antidiabetics related conditions. Use as directed by physician.,True,PharmaNova,Tablet,SKU-00016,https://example.com/product/16.png
Amoxicillin 10mg Injection,Analgesics,37.01,249,Amoxicillin 10mg Injection used for analgesics related conditions. Use as directed by physician.,False,PharmaNova,Injection,SKU-00017,https://example.com/product/17.png
Amoxicillin 100mg Tablet,Analgesics,36.51,400,Amoxicillin 100mg Tablet used for analgesics related conditions. Use as directed by physician.,False,LifeLine,Tablet,SKU-00018,https://example.com/product/18.png
Paracetamol 10mg Capsule,Antihypertensives,25.32,391,Paracetamol 10mg Capsule used for antihypertensives related conditions. Use as directed by physician.,True,LifeLine,Capsule,SKU-00019,https://example.com/product/19.png
Ibuprofen 20mg Injection,Analgesics,16.33,372,Ibuprofen 20mg Injection used for analgesics related conditions. Use as directed by physician.,False,MediCare,Injection,SKU-00020,https://example.com/product/20.png
Metformin 200mg Injection,Analgesics,11.74,387,Metformin 200mg Injection used for analgesics related conditions. Use as directed by physician.,False,PharmaNova,Injection,SKU-00021,https://example.com/product/21.png
Vitamin D 20mg Capsule,Antibiotics,44.09,294,Vitamin D 20mg Capsule used for antibiotics related conditions. Use as directed by physician.,True,PharmaNova,Capsule,SKU-00022,https://example.com/product/22.png
Paracetamol 200mg Injection,Supplements,20.92,487,Paracetamol 200mg Injection used for supplements related conditions. Use as directed by physician.,False,PharmaNova,Injection,SKU-00023,https://example.com/product/23.png
Vitamin B12 500mg Capsule,Antibiotics,46.07,233,Vitamin B12 500mg Capsule used for antibiotics related conditions. Use as directed by physician.,True,LifeLine,Capsule,SKU-00024,https://example.com/product/24.png
Amoxicillin 400mg Injection,Antibiotics,4.14,352,Amoxicillin 400mg Injection used for antibiotics related conditions. Use as directed by physician.,True,HealthPlus,Injection,SKU-00025,https://example.com/product/25.png
Salbutamol 500mg Injection,Analgesics,8.37,333,Salbutamol 500mg Injection used for analgesics related conditions. Use as directed by physician.,True,PharmaNova,Injection,SKU-00026,https://example.com/product/26.png
Ibuprofen 200mg Syrup,Antidiabetics,44.1,318,Ibuprofen 200mg Syrup used for antidiabetics related conditions. Use as directed by physician.,True,HealthPlus,Syrup,SKU-00027,https://example.com/product/27.png
Cetirizine 20mg Injection,Antihypertensives,23.77,32,Cetirizine 20mg Injection used for antihypertensives related conditions. Use as directed by physician.,True,MediCare,Injection,SKU-00028,https://example.com/product/28.png
Ibuprofen 10mg Syrup,Supplements,31.31,492,Ibuprofen 10mg Syrup used for supplements related conditions. Use as directed by physician.,False,HealthPlus,Syrup,SKU-00029,https://example.com/product/29.png
Atorvastatin 200mg Injection,Antidiabetics,38.22,79,Atorvastatin 200mg Injection used for antidiabetics related conditions. Use as directed by physician.,True,HealthPlus,Injection,SKU-00030,https://example.com/product/30.png
Amoxicillin 20mg Tablet,Analgesics,12.1,290,Amoxicillin 20mg Tablet used for analgesics related conditions. Use as directed by physician.,True,PharmaNova,Tablet,SKU-00031,https://example.com/product/31.png
Amoxicillin 400mg Tablet,Analgesics,41.48,194,Amoxicillin 400mg Tablet used for analgesics related conditions. Use as directed by physician.,False,HealthPlus,Tablet,SKU-00032,https://example.com/product/32.png
Amoxicillin 200mg Tablet,Supplements,16.94,240,Amoxicillin 200mg Tablet used for supplements related conditions. Use as directed by physician.,True,LifeLine,Tablet,SKU-00033,https://example.com/product/33.png
Amoxicillin 20mg Capsule,Respiratory,35.67,361,Amoxicillin 20mg Capsule used for respiratory related conditions. Use as directed by physician.,True,PharmaNova,Capsule,SKU-00034,https://example.com/product/34.png
Paracetamol 100mg Syrup,Analgesics,16.43,7,Paracetamol 100mg Syrup used for analgesics related conditions. Use as directed by physician.,False,MediCare,Syrup,SKU-00035,https://example.com/product/35.png
Vitamin B12 200mg Injection,Antidiabetics,27.15,369,Vitamin B12 200mg Injection used for antidiabetics related conditions. Use as directed by physician.,True,LifeLine,Injection,SKU-00036,https://example.com/product/36.png
Ibuprofen 400mg Tablet,Antihypertensives,7.57,433,Ibuprofen 400mg Tablet used for antihypertensives related conditions. Use as directed by physician.,True,MediCare,Tablet,SKU-00037,https://example.com/product/37.png
Vitamin D 200mg Injection,Respiratory,29.61,493,Vitamin D 200mg Injection used for respiratory related conditions. Use as directed by physician.,False,MediCare,Injection,SKU-00038,https://example.com/product/38.png
Ibuprofen 10mg Syrup,Antibiotics,43.98,37,Ibuprofen 10mg Syrup used for antibiotics related conditions. Use as directed by physician.,True,MediCare,Syrup,SKU-00039,https://example.com/product/39.png
Ibuprofen 20mg Injection,Analgesics,36.08,76,Ibuprofen 20mg Injection used for analgesics related conditions. Use as directed by physician.,False,PharmaNova,Injection,SKU-00040,https://example.com/product/40.png
Omeprazole 200mg Syrup,Supplements,35.91,426,Omeprazole 200mg Syrup used for supplements related conditions. Use as directed by physician.,True,LifeLine,Syrup,SKU-00041,https://example.com/product/41.png
Metformin 100mg Injection,Antibiotics,35.43,195,Metformin 100mg Injection used for antibiotics related conditions. Use as directed by physician.,True,MediCare,Injection,SKU-00042,https://example.com/product/42.png
Vitamin D 20mg Syrup,Analgesics,28.84,209,Vitamin D 20mg Syrup used for analgesics related conditions. Use as directed by physician.,True,LifeLine,Syrup,SKU-00043,https://example.com/product/43.png
Metformin 10mg Injection,Respiratory,47.18,492,Metformin 10mg Injection used for respiratory related conditions. Use as directed by physician.,False,LifeLine,Injection,SKU-00044,https://example.com/product/44.png
Paracetamol 10mg Injection,Respiratory,6.41,429,Paracetamol 10mg Injection used for respiratory related conditions. Use as directed by physician.,True,MediCare,Injection,SKU-00045,https://example.com/product/45.png
Atorvastatin 10mg Syrup,Respiratory,22.17,238,Atorvastatin 10mg Syrup used for respiratory related conditions. Use as directed by physician.,True,HealthPlus,Syrup,SKU-00046,https://example.com/product/46.png
Cetirizine 20mg Syrup,Supplements,44.56,377,Cetirizine 20mg Syrup used for supplements related conditions. Use as directed by physician.,True,MediCare,Syrup,SKU-00047,https://example.com/product/47.png
Salbutamol 20mg Capsule,Antihypertensives,35.06,163,Salbutamol 20mg Capsule used for antihypertensives related conditions. Use as directed by physician.,True,LifeLine,Capsule,SKU-00048,https://example.com/product/48.png
Vitamin D 500mg Capsule,Respiratory,9.56,60,Vitamin D 500mg Capsule used for respiratory related conditions. Use as directed by physician.,False,HealthPlus,Capsule,SKU-00049,https://example.com/product/49.png
Vitamin D 400mg Injection,Analgesics,29.0,172,Vitamin D 400mg Injection used for analgesics related conditions. Use as directed by physician.,False,LifeLine,Injection,SKU-00050,https://example.com/product/50.png
Vitamin B12 400mg Tablet,Antidiabetics,38.77,185,Vitamin B12 400mg Tablet used for antidiabetics related conditions. Use as directed by physician.,True,HealthPlus,Tablet,SKU-00051,https://example.com/product/51.png
Ibuprofen 20mg Syrup,Respiratory,7.36,22,Ibuprofen 20mg Syrup used for respiratory related conditions. Use as directed by physician.,True,LifeLine,Syrup,SKU-00052,https://example.com/product/52.png
Vitamin D 500mg Tablet,Respiratory,18.73,474,Vitamin D 500mg Tablet used for respiratory related conditions. Use as directed by physician.,True,LifeLine,Tablet,SKU-00053,https://example.com/product/53.png
Paracetamol 200mg Capsule,Respiratory,49.23,433,Paracetamol 200mg Capsule used for respiratory related conditions. Use as directed by physician.,True,HealthPlus,Capsule,SKU-00054,https://example.com/product/54.png
Cetirizine 200mg Capsule,Supplements,27.77,121,Cetirizine 200mg Capsule used for supplements related conditions. Use as directed by physician.,False,PharmaNova,Capsule,SKU-00055,https://example.com/product/55.png
Vitamin B12 10mg Injection,Antidiabetics,42.75,84,Vitamin B12 10mg Injection used for antidiabetics related conditions. Use as directed by physician.,True,LifeLine,Injection,SKU-00056,https://example.com/product/56.png
Salbutamol 400mg Syrup,Supplements,32.32,227,Salbutamol 400mg Syrup used for supplements related conditions. Use as directed by physician.,True,MediCare,Syrup,SKU-00057,https://example.com/product/57.png
Cetirizine 10mg Tablet,Antidiabetics,44.77,311,Cetirizine 10mg Tablet used for antidiabetics related conditions. Use as directed by physician.,True,HealthPlus,Tablet,SKU-00058,https://example.com/product/58.png
Ibuprofen 200mg Syrup,Antibiotics,22.16,422,Ibuprofen 200mg Syrup used for antibiotics related conditions. Use as directed by physician.,True,PharmaNova,Syrup,SKU-00059,https://example.com/product/59.png
Amoxicillin 20mg Capsule,Supplements,43.65,34,Amoxicillin 20mg Capsule used for supplements related conditions. Use as directed by physician.,False,MediCare,Capsule,SKU-00060,https://example.com/product/60.png
Ibuprofen 200mg Injection,Supplements,24.91,241,Ibuprofen 200mg Injection used for supplements related conditions. Use as directed by physician.,False,MediCare,Injection,SKU-00061,https://example.com/product/61.png
Salbutamol 200mg Capsule,Antihypertensives,7.22,359,Salbutamol 200mg Capsule used for antihypertensives related conditions. Use as directed by physician.,True,MediCare,Capsule,SKU-00062,https://example.com/product/62.png
Atorvastatin 500mg Tablet,Antidiabetics,10.5,11,Atorvastatin 500mg Tablet used for antidiabetics related conditions. Use as directed by physician.,True,MediCare,Tablet,SKU-00063,https://example.com/product/63.png
Salbutamol 20mg Injection,Antihypertensives,17.14,313,Salbutamol 20mg Injection used for antihypertensives related conditions. Use as directed by physician.,True,PharmaNova,Injection,SKU-00064,https://example.com/product/64.png
Salbutamol 400mg Capsule,Supplements,40.33,11,Salbutamol 400mg Capsule used for supplements related conditions. Use as directed by physician.,True,HealthPlus,Capsule,SKU-00065,https://example.com/product/65.png
Vitamin D 10mg Injection,Antihypertensives,12.26,490,Vitamin D 10mg Injection used for antihypertensives related conditions. Use as directed by physician.,True,LifeLine,Injection,SKU-00066,https://example.com/product/66.png
Amoxicillin 100mg Injection,Analgesics,43.53,240,Amoxicillin 100mg Injection used for analgesics related conditions. Use as directed by physician.,True,PharmaNova,Injection,SKU-00067,https://example.com/product/67.png
Paracetamol 20mg Tablet,Analgesics,14.01,160,Paracetamol 20mg Tablet used for analgesics related conditions. Use as directed by physician.,True,MediCare,Tablet,SKU-00068,https://example.com/product/68.png
Cetirizine 200mg Injection,Analgesics,39.57,40,Cetirizine 200mg Injection used for analgesics related conditions. Use as directed by physician.,False,PharmaNova,Injection,SKU-00069,https://example.com/product/69.png
Metformin 100mg Syrup,Antibiotics,25.19,337,Metformin 100mg Syrup used for antibiotics related conditions. Use as directed by physician.,True,MediCare,Syrup,SKU-00070,https://example.com/product/70.png
Ibuprofen 500mg Tablet,Respiratory,11.63,257,Ibuprofen 500mg Tablet used for respiratory related conditions. Use as directed by physician.,False,HealthPlus,Tablet,SKU-00071,https://example.com/product/71.png
Omeprazole 100mg Tablet,Respiratory,31.59,428,Omeprazole 100mg Tablet used for respiratory related conditions. Use as directed by physician.,False,PharmaNova,Tablet,SKU-00072,https://example.com/product/72.png
Metformin 20mg Injection,Antihypertensives,46.89,265,Metformin 20mg Injection used for antihypertensives related conditions. Use as directed by physician.,True,HealthPlus,Injection,SKU-00073,https://example.com/product/73.png
Amoxicillin 400mg Capsule,Respiratory,30.24,116,Amoxicillin 400mg Capsule used for respiratory related conditions. Use as directed by physician.,True,MediCare,Capsule,SKU-00074,https://example.com/product/74.png
Cetirizine 20mg Tablet,Analgesics,39.45,367,Cetirizine 20mg Tablet used for analgesics related conditions. Use as directed by physician.,True,HealthPlus,Tablet,SKU-00075,https://example.com/product/75.png
Vitamin D 100mg Capsule,Supplements,18.68,462,Vitamin D 100mg Capsule used for supplements related conditions. Use as directed by physician.,True,HealthPlus,Capsule,SKU-00076,https://example.com/product/76.png
Cetirizine 400mg Syrup,Antidiabetics,31.82,253,Cetirizine 400mg Syrup used for antidiabetics related conditions. Use as directed by physician.,True,MediCare,Syrup,SKU-00077,https://example.com/product/77.png
Amoxicillin 100mg Syrup,Respiratory,41.39,465,Amoxicillin 100mg Syrup used for respiratory related conditions. Use as directed by physician.,False,HealthPlus,Syrup,SKU-00078,https://example.com/product/78.png
Ibuprofen 20mg Capsule,Antibiotics,25.1,232,Ibuprofen 20mg Capsule used for antibiotics related conditions. Use as directed by physician.,True,PharmaNova,Capsule,SKU-00079,https://example.com/product/79.png
Vitamin B12 20mg Injection,Antihypertensives,27.33,48,Vitamin B12 20mg Injection used for antihypertensives related conditions. Use as directed by physician.,True,LifeLine,Injection,SKU-00080,https://example.com/product/80.png
Ibuprofen 100mg Tablet,Antihypertensives,28.79,8,Ibuprofen 100mg Tablet used for antihypertensives related conditions. Use as directed by physician.,True,HealthPlus,Tablet,SKU-00081,https://example.com/product/81.png
Ibuprofen 400mg Injection,Analgesics,16.59,280,Ibuprofen 400mg Injection used for analgesics related conditions. Use as directed by physician.,True,PharmaNova,Injection,SKU-00082,https://example.com/product/82.png
Amoxicillin 100mg Injection,Antidiabetics,17.45,199,Amoxicillin 100mg Injection used for antidiabetics related conditions. Use as directed by physician.,True,MediCare,Injection,SKU-00083,https://example.com/product/83.png
Vitamin B12 200mg Injection,Antibiotics,12.49,462,Vitamin B12 200mg Injection used for antibiotics related conditions. Use as directed by physician.,True,LifeLine,Injection,SKU-00084,https://example.com/product/84.png
Omeprazole 100mg Capsule,Antibiotics,25.69,392,Omeprazole 100mg Capsule used for antibiotics related conditions. Use as directed by physician.,True,MediCare,Capsule,SKU-00085,https://example.com/product/85.png
Metformin 100mg Injection,Respiratory,14.32,14,Metformin 100mg Injection used for respiratory related conditions. Use as directed by physician.,False,HealthPlus,Injection,SKU-00086,https://example.com/product/86.png
Paracetamol 20mg Tablet,Antidiabetics,9.97,283,Paracetamol 20mg Tablet used for antidiabetics related conditions. Use as directed by physician.,True,HealthPlus,Tablet,SKU-00087,https://example.com/product/87.png
Ibuprofen 100mg Tablet,Antidiabetics,21.98,342,Ibuprofen 100mg Tablet used for antidiabetics related conditions. Use as directed by physician.,True,MediCare,Tablet,SKU-00088,https://example.com/product/88.png
Cetirizine 400mg Capsule,Supplements,6.98,115,Cetirizine 400mg Capsule used for supplements related conditions. Use as directed by physician.,True,HealthPlus,Capsule,SKU-00089,https://example.com/product/89.png
Vitamin B12 200mg Capsule,Antihypertensives,4.06,310,Vitamin B12 200mg Capsule used for antihypertensives related conditions. Use as directed by physician.,True,PharmaNova,Capsule,SKU-00090,https://example.com/product/90.png
Paracetamol 500mg Injection,Analgesics,33.6,119,Paracetamol 500mg Injection used for analgesics related conditions. Use as directed by physician.,True,PharmaNova,Injection,SKU-00091,https://example.com/product/91.png
Vitamin D 20mg Injection,Respiratory,21.03,372,Vitamin D 20mg Injection used for respiratory related conditions. Use as directed by physician.,False,LifeLine,Injection,SKU-00092,https://example.com/product/92.png
Atorvastatin 200mg Tablet,Respiratory,16.55,163,Atorvastatin 200mg Tablet used for respiratory related conditions. Use as directed by physician.,False,LifeLine,Tablet,SKU-00093,https://example.com/product/93.png
Cetirizine 200mg Capsule,Analgesics,4.24,272,Cetirizine 200mg Capsule used for analgesics related conditions. Use as directed by physician.,False,PharmaNova,Capsule,SKU-00094,https://example.com/product/94.png
Cetirizine 200mg Injection,Respiratory,32.03,117,Cetirizine 200mg Injection used for respiratory related conditions. Use as directed by physician.,False,LifeLine,Injection,SKU-00095,https://example.com/product/95.png
Atorvastatin 200mg Injection,Analgesics,37.55,412,Atorvastatin 200mg Injection used for analgesics related conditions. Use as directed by physician.,True,LifeLine,Injection,SKU-00096,https://example.com/product/96.png
Paracetamol 400mg Capsule,Antidiabetics,10.12,494,Paracetamol 400mg Capsule used for antidiabetics related conditions. Use as directed by physician.,True,HealthPlus,Capsule,SKU-00097,https://example.com/product/97.png
Amoxicillin 200mg Syrup,Supplements,20.84,307,Amoxicillin 200mg Syrup used for supplements related conditions. Use as directed by physician.,False,PharmaNova,Syrup,SKU-00098,https://example.com/product/98.png
Amoxicillin 10mg Tablet,Antihypertensives,15.08,221,Amoxicillin 10mg Tablet used for antihypertensives related conditions. Use as directed by physician.,True,MediCare,Tablet,SKU-00099,https://example.com/product/99.png
Vitamin D 500mg Syrup,Antibiotics,22.98,310,Vitamin D 500mg Syrup used for antibiotics related conditions. Use as directed by physician.,True,HealthPlus,Syrup,SKU-00100,https://example.com/product/100.png
Amoxicillin 20mg Injection,Antidiabetics,29.39,206,Amoxicillin 20mg Injection used for antidiabetics related conditions. Use as directed by physician.,True,HealthPlus,Injection,SKU-00101,https://example.com/product/101.png
Vitamin B12 20mg Syrup,Respiratory,40.73,191,Vitamin B12 20mg Syrup used for respiratory related conditions. Use as directed by physician.,False,MediCare,Syrup,SKU-00102,https://example.com/product/102.png
Cetirizine 400mg Syrup,Analgesics,11.98,226,Cetirizine 400mg Syrup used for analgesics related conditions. Use as directed by physician.,False,LifeLine,Syrup,SKU-00103,https://example.com/product/103.png
Salbutamol 10mg Capsule,Antihypertensives,16.02,299,Salbutamol 10mg Capsule used for antihypertensives related conditions. Use as directed by physician.,True,HealthPlus,Capsule,SKU-00104,https://example.com/product/104.png
Cetirizine 400mg Syrup,Antibiotics,25.35,457,Cetirizine 400mg Syrup used for antibiotics related conditions. Use as directed by physician.,True,PharmaNova,Syrup,SKU-00105,https://example.com/product/105.png
Paracetamol 10mg Capsule,Antihypertensives,34.58,175,Paracetamol 10mg Capsule used for antihypertensives related conditions. Use as directed by physician.,True,PharmaNova,Capsule,SKU-00106,https://example.com/product/106.png
Salbutamol 500mg Injection,Antihypertensives,36.09,234,Salbutamol 500mg Injection used for antihypertensives related conditions. Use as directed by physician.,True,HealthPlus,Injection,SKU-00107,https://example.com/product/107.png
Amoxicillin 400mg Injection,Antibiotics,32.19,40,Amoxicillin 400mg Injection used for antibiotics related conditions. Use as directed by physician.,True,MediCare,Injection,SKU-00108,https://example.com/product/108.png
Salbutamol 500mg Capsule,Antidiabetics,29.52,375,Salbutamol 500mg Capsule used for antidiabetics related conditions. Use as directed by physician.,True,HealthPlus,Capsule,SKU-00109,https://example.com/product/109.png
Vitamin B12 10mg Tablet,Antidiabetics,4.02,54,Vitamin B12 10mg Tablet used for antidiabetics related conditions. Use as directed by physician.,True,HealthPlus,Tablet,SKU-00110,https://example.com/product/110.png
Ibuprofen 100mg Tablet,Antidiabetics,42.36,482,Ibuprofen 100mg Tablet used for antidiabetics related conditions. Use as directed by physician.,True,MediCare,Tablet,SKU-00111,https://example.com/product/111.png
Vitamin D 20mg Tablet,Analgesics,35.18,438,Vitamin D 20mg Tablet used for analgesics related conditions. Use as directed by physician.,False,HealthPlus,Tablet,SKU-00112,https://example.com/product/112.png
Ibuprofen 500mg Tablet,Supplements,30.62,120,Ibuprofen 500mg Tablet used for supplements related conditions. Use as directed by physician.,False,MediCare,Tablet,SKU-00113,https://example.com/product/113.png
Amoxicillin 10mg Tablet,Antibiotics,42.88,481,Amoxicillin 10mg Tablet used for antibiotics related conditions. Use as directed by physician.,True,HealthPlus,Tablet,SKU-00114,https://example.com/product/114.png
Vitamin D 10mg Tablet,Analgesics,34.73,129,Vitamin D 10mg Tablet used for analgesics related conditions. Use as directed by physician.,True,PharmaNova,Tablet,SKU-00115,https://example.com/product/115.png
Salbutamol 100mg Injection,Respiratory,11.62,470,Salbutamol 100mg Injection used for respiratory related conditions. Use as directed by physician.,True,MediCare,Injection,SKU-00116,https://example.com/product/116.png
Paracetamol 10mg Syrup,Analgesics,21.39,350,Paracetamol 10mg Syrup used for analgesics related conditions. Use as directed by physician.,False,LifeLine,Syrup,SKU-00117,https://example.com/product/117.png
Salbutamol 100mg Capsule,Antibiotics,23.74,99,Salbutamol 100mg Capsule used for antibiotics related conditions. Use as directed by physician.,True,LifeLine,Capsule,SKU-00118,https://example.com/product/118.png
Omeprazole 10mg Injection,Antibiotics,45.51,135,Omeprazole 10mg Injection used for antibiotics related conditions. Use as directed by physician.,True,LifeLine,Injection,SKU-00119,https://example.com/product/119.png
Cetirizine 20mg Capsule,Respiratory,42.45,340,Cetirizine 20mg Capsule used for respiratory related conditions. Use as directed by physician.,False,LifeLine,Capsule,SKU-00120,https://example.com/product/120.png
Ibuprofen 500mg Capsule,Antibiotics,40.97,488,Ibuprofen 500mg Capsule used for antibiotics related conditions. Use as directed by physician.,True,HealthPlus,Capsule,SKU-00121,https://example.com/product/121.png
Ibuprofen 100mg Tablet,Antibiotics,28.32,76,Ibuprofen 100mg Tablet used for antibiotics related conditions. Use as directed by physician.,True,MediCare,Tablet,SKU-00122,https://example.com/product/122.png
Paracetamol 200mg Injection,Antidiabetics,23.81,91,Paracetamol 200mg Injection used for antidiabetics related conditions. Use as directed by physician.,True,PharmaNova,Injection,SKU-00123,https://example.com/product/123.png
Salbutamol 20mg Tablet,Respiratory,48.9,457,Salbutamol 20mg Tablet used for respiratory related conditions. Use as directed by physician.,False,PharmaNova,Tablet,SKU-00124,https://example.com/product/124.png
Atorvastatin 500mg Capsule,Antihypertensives,44.86,131,Atorvastatin 500mg Capsule used for antihypertensives related conditions. Use as directed by physician.,True,MediCare,Capsule,SKU-00125,https://example.com/product/125.png
Ibuprofen 500mg Syrup,Antidiabetics,39.73,157,Ibuprofen 500mg Syrup used for antidiabetics related conditions. Use as directed by physician.,True,PharmaNova,Syrup,SKU-00126,https://example.com/product/126.png
Salbutamol 500mg Injection,Supplements,18.9,88,Salbutamol 500mg Injection used for supplements related conditions. Use as directed by physician.,True,LifeLine,Injection,SKU-00127,https://example.com/product/127.png
Ibuprofen 500mg Tablet,Antidiabetics,37.17,211,Ibuprofen 500mg Tablet used for antidiabetics related conditions. Use as directed by physician.,True,LifeLine,Tablet,SKU-00128,https://example.com/product/128.png
Ibuprofen 10mg Capsule,Antihypertensives,38.68,140,Ibuprofen 10mg Capsule used for antihypertensives related conditions. Use as directed by physician.,True,MediCare,Capsule,SKU-00129,https://example.com/product/129.png
Ibuprofen 400mg Syrup,Antibiotics,42.28,153,Ibuprofen 400mg Syrup used for antibiotics related conditions. Use as directed by physician.,True,MediCare,Syrup,SKU-00130,https://example.com/product/130.png
Vitamin B12 10mg Tablet,Antihypertensives,37.88,427,Vitamin B12 10mg Tablet used for antihypertensives related conditions. Use as directed by physician.,True,PharmaNova,Tablet,SKU-00131,https://example.com/product/131.png
Salbutamol 500mg Tablet,Respiratory,23.03,273,Salbutamol 500mg Tablet used for respiratory related conditions. Use as directed by physician.,True,HealthPlus,Tablet,SKU-00132,https://example.com/product/132.png
Atorvastatin 400mg Injection,Antidiabetics,46.9,301,Atorvastatin 400mg Injection used for antidiabetics related conditions. Use as directed by physician.,True,LifeLine,Injection,SKU-00133,https://example.com/product/133.png
Vitamin B12 500mg Syrup,Analgesics,15.26,408,Vitamin B12 500mg Syrup used for analgesics related conditions. Use as directed by physician.,False,LifeLine,Syrup,SKU-00134,https://example.com/product/134.png
Metformin 10mg Capsule,Antibiotics,7.8,422,Metformin 10mg Capsule used for antibiotics related conditions. Use as directed by physician.,True,HealthPlus,Capsule,SKU-00135,https://example.com/product/135.png
Paracetamol 500mg Syrup,Supplements,24.58,353,Paracetamol 500mg Syrup used for supplements related conditions. Use as directed by physician.,False,LifeLine,Syrup,SKU-00136,https://example.com/product/136.png
Metformin 10mg Syrup,Antibiotics,42.75,330,Metformin 10mg Syrup used for antibiotics related conditions. Use as directed by physician.,True,LifeLine,Syrup,SKU-00137,https://example.com/product/137.png
Cetirizine 100mg Syrup,Respiratory,10.44,197,Cetirizine 100mg Syrup used for respiratory related conditions. Use as directed by physician.,True,HealthPlus,Syrup,SKU-00138,https://example.com/product/138.png
Metformin 400mg Tablet,Antibiotics,15.33,328,Metformin 400mg Tablet used for antibiotics related conditions. Use as directed by physician.,True,PharmaNova,Tablet,SKU-00139,https://example.com/product/139.png
Vitamin D 500mg Capsule,Antibiotics,38.47,152,Vitamin D 500mg Capsule used for antibiotics related conditions. Use as directed by physician.,True,LifeLine,Capsule,SKU-00140,https://example.com/product/140.png
Vitamin D 10mg Injection,Antihypertensives,47.78,76,Vitamin D 10mg Injection used for antihypertensives related conditions. Use as directed by physician.,True,HealthPlus,Injection,SKU-00141,https://example.com/product/141.png
Metformin 20mg Capsule,Antihypertensives,16.3,500,Metformin 20mg Capsule used for antihypertensives related conditions. Use as directed by physician.,True,LifeLine,Capsule,SKU-00142,https://example.com/product/142.png
Vitamin B12 200mg Injection,Antibiotics,37.66,310,Vitamin B12 200mg Injection used for antibiotics related conditions. Use as directed by physician.,True,HealthPlus,Injection,SKU-00143,https://example.com/product/143.png
Amoxicillin 500mg Capsule,Analgesics,14.23,499,Amoxicillin 500mg Capsule used for analgesics related conditions. Use as directed by physician.,True,MediCare,Capsule,SKU-00144,https://example.com/product/144.png
Ibuprofen 20mg Syrup,Antihypertensives,24.18,481,Ibuprofen 20mg Syrup used for antihypertensives related conditions. Use as directed by physician.,True,HealthPlus,Syrup,SKU-00145,https://example.com/product/145.png
